Price,Location,Room,Bath Room,Area
12.49 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
64 Lakh,"Lilly Sector - Block A, DHA Valley - Lilly Sector",2,2,5 Marla
11.75 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
1.55 Crore,"Oleander Sector - DHA Homes Block A, DHA Valley - Oleander Sector",3,3,8 Marla
2.1 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",4,4,5 Marla
6.3 Crore,"CBR Town Phase 1 - Block C, CBR Town Phase 1",8,6,12 Marla
2.38 Crore,"Park View City, Islamabad",3,4,5 Marla
22 Crore,"DHA Defence Phase 1, DHA Defence",5,6,2 Kanal
16.2 Crore,"G-9/1, G-9",3,3,14 Marla
3.4 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",5,7,7 Marla
2.65 Crore,"Bahria Enclave - Sector B1, Bahria Enclave",3,4,5 Marla
13.5 Crore,"D-12/4, D-12",6,6,10 Marla
3.3 Crore,"Bahria Enclave, Bahria Town",5,6,8 Marla
3.25 Crore,"Bahria Enclave - Sector G, Bahria Enclave",6,6,8 Marla
4.35 Crore,"Top City 1, Islamabad",5,7,10 Marla
10.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
10.5 Crore,"Bani Gala, Islamabad",5,7,1.7 Kanal
10.85 Crore,"DHA Defence Phase 2, DHA Defence",5,7,1 Kanal
3.5 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",4,5,8 Marla
15.75 Crore,"F-10, Islamabad",8,6,1 Kanal
14.5 Crore,"F-10, Islamabad",6,6,1 Kanal
45 Crore,"E-7, Islamabad",6,7,2 Kanal
3.25 Crore,"Bahria Enclave - Sector F1, Bahria Enclave",4,5,8 Marla
2.6 Crore,"Bahria Enclave - Sector H, Bahria Enclave",3,4,5 Marla
2.8 Crore,"Bahria Enclave - Sector H, Bahria Enclave",3,4,5 Marla
5.49 Crore,"Top City 1 - Block A, Top City 1",6,7,10 Marla
4.15 Crore,"Top City 1 - Block A, Top City 1",6,7,10 Marla
14.9 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
4 Crore,"Top City 1 - Block A, Top City 1",5,6,10 Marla
4.3 Crore,"Top City 1 - Block D, Top City 1",5,6,10 Marla
4.75 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,10 Marla
3 Crore,"Bhara kahu, Islamabad",5,5,7 Marla
13.5 Crore,"D-12/4, D-12",5,6,10 Marla
2.35 Crore,"Bahria Enclave - Sector N, Bahria Enclave",3,5,5 Marla
2.8 Crore,"MPCHS - Multi Gardens, B-17",4,6,5 Marla
3.4 Crore,"DHA Defence Phase 2, DHA Defence",2,3,7 Marla
10.9 Crore,"DHA Phase 2 - Sector C, DHA Defence Phase 2",6,6,1 Kanal
5.75 Crore,"G-11/2, G-11",5,6,5 Marla
8.25 Crore,"Naval Anchorage, Islamabad",6,6,1 Kanal
3.6 Crore,"G-14/2, G-14",5,5,4 Marla
7.5 Crore,"DHA Defence Phase 2, DHA Defence",5,5,10 Marla
3.3 Crore,"MPCHS - Block C, MPCHS - Multi Gardens",4,5,8 Marla
4 Crore,"Bahria Enclave - Sector C2, Bahria Enclave",5,6,9 Marla
9.4 Crore,"G-13, Islamabad",6,7,10 Marla
2.8 Crore,"MPCHS - Block E, MPCHS - Multi Gardens",,,8 Marla
5.1 Crore,"DHA Defence Phase 1, DHA Defence",5,6,12 Marla
3.8 Crore,"Top City 1, Islamabad",6,,10 Marla
7 Crore,"Top City 1, Islamabad",8,7,1 Kanal
6.5 Crore,"Top City 1, Islamabad",7,7,1 Kanal
4.35 Crore,"Top City 1, Islamabad",6,7,10 Marla
3.85 Crore,"Top City 1 - Block A, Top City 1",5,6,10 Marla
11.5 Crore,"D-12, Islamabad",6,7,10 Marla
2.4 Crore,"MPCHS - Multi Gardens, B-17",4,5,5 Marla
9.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
10.9 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
3.95 Crore,"MPCHS - Multi Gardens, B-17",4,5,8 Marla
3 Crore,"Gulberg Residencia - Block C, Gulberg Residencia",4,4,5 Marla
5.35 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,10 Marla
4.65 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,10 Marla
7.5 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",6,7,1 Kanal
4.3 Crore,"River Garden, Islamabad",5,6,8 Marla
7.5 Crore,"DHA Defence Phase 2, DHA Defence",5,5,10 Marla
7.5 Crore,"MPCHS - Block B, MPCHS - Multi Gardens",7,6,1 Kanal
3.3 Crore,"Bani Gala, Islamabad",4,6,12 Marla
3 Crore,"Faisal Town - F-18, Islamabad",5,5,5 Marla
1.2 Crore,"Bani Gala, Islamabad",2,3,5 Marla
2.5 Crore,"D-17, Islamabad",4,4,7.1 Marla
4.4 Crore,"Top City 1, Islamabad",6,7,10 Marla
3.65 Crore,"Top City 1, Islamabad",5,,10 Marla
4.15 Crore,"Top City 1, Islamabad",5,7,10 Marla
4.5 Crore,"Top City 1, Islamabad",7,7,1 Kanal
1.75 Crore,"University Town, Islamabad",5,6,5 Marla
1.75 Crore,"University Town, Islamabad",4,6,5 Marla
4.5 Crore,"G-11, Islamabad",3,3,5 Marla
3.6 Crore,"Top City 1, Islamabad",5,,10 Marla
10.5 Crore,"Bahria Enclave, Bahria Town",6,6,1 Kanal
4.85 Crore,"G-13, Islamabad",5,7,8 Marla
4.3 Crore,"D-12/4, D-12",4,4,4 Marla
5.5 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",4,6,10 Marla
5.65 Crore,"D-12/1, D-12",4,4,5 Marla
16.5 Crore,"G-9/1, G-9",7,6,14 Marla
35 Crore,"F-7/1, F-7",6,6,1.3 Kanal
15.5 Crore,"F-11, Islamabad",4,4,17.8 Marla
90 Crore,"E-7, Islamabad",6,7,2.1 Kanal
2.5 Crore,"B-17, Islamabad",4,,5 Marla
12.25 Crore,"DHA Defence Phase 2, DHA Defence",6,7,1 Kanal
10.75 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
4.75 Crore,"DHA Phase 1 - Defence Villas, DHA Phase 1 - Sector F",3,4,1 Kanal
3.85 Crore,"Bahria Enclave, Bahria Town",5,6,8 Marla
5.1 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,10 Marla
5.1 Crore,"Bahria Enclave - Sector A, Bahria Enclave",5,6,10 Marla
6.25 Crore,"Bahria Enclave, Bahria Town",5,6,10 Marla
5 Crore,"Bahria Enclave - Sector A, Bahria Enclave",5,5,11 Marla
9.95 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
13.5 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
13.5 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
14.75 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
14.75 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
14.75 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
14.5 Crore,"DHA Defence Phase 2, DHA Defence",5,5,1 Kanal
11 Crore,"Eighteen, Kashmir Highway",,,1 Kanal
5.45 Crore,"G-9/4, G-9",4,4,6.6 Marla
1.1 Arab,"F-7/3, F-7",,,4 Kanal
12.45 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
5.5 Crore,"I-11/2, I-11",6,5,8 Marla
3.5 Crore,"G-13, Islamabad",4,4,4 Marla
4.1 Crore,"G-13, Islamabad",4,4,4 Marla
5.6 Crore,"G-13, Islamabad",4,4,7 Marla
3.2 Crore,"Jinnah Gardens Phase 1, Jinnah Gardens",5,5,7 Marla
11.9 Crore,"I-8/3, I-8",7,7,13.2 Marla
10.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
3.1 Crore,"Bahria Enclave - Sector B1, Bahria Enclave",3,3,5.6 Marla
5.3 Crore,"Bahria Enclave, Bahria Town",5,6,10 Marla
5.25 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5,6,10 Marla
6.5 Crore,"Bahria Enclave, Bahria Town",5,6,10 Marla
1.25 Crore,"Bani Gala, Islamabad",2,3,5 Marla
5.1 Crore,"Bahria Enclave, Bahria Town",5,6,10 Marla
14.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
3.5 Crore,"G-13/1, G-13",,,4.4 Marla
7.85 Crore,"DHA Defence Phase 2, DHA Defence",5,6,10 Marla
10.5 Crore,"DHA Defence Phase 2, DHA Defence",6,6,1 Kanal
3.25 Crore,"G-13/1, G-13",,,4.4 Marla
8 Crore,"DHA Defence Phase 5, DHA Defence",5,7,10 Marla
12.5 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
11.9 Crore,"DHA Defence Phase 2, DHA Defence",5,6,1 Kanal
28 Crore,"F-8, Islamabad",5,6,1.2 Kanal
